"题号","题干","A","B","C","D","E","答案","难度","题型","类别"
"520","Python中dict()函数的作用是？","转换为字典","错误选项1","错误选项2","错误选项3","","A","简单","单选题","字典"
"521","Python中set()函数的作用是？","转换为集合","错误选项1","错误选项2","错误选项3","","A","简单","单选题","集合"
"522","Python中max()函数的作用是？","获取最大值","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"523","Python中min()函数的作用是？","获取最小值","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"524","Python中sum()函数的作用是？","求和","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"525","Python中abs()函数的作用是？","绝对值","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"526","Python中round()函数的作用是？","四舍五入","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"527","Python中sorted()函数的作用是？","排序","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"528","Python中reversed()函数的作用是？","反转","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"529","Python中enumerate()函数的作用是？","枚举","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"530","Python中zip()函数的作用是？","打包","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"531","Python中列表推导式的作用是？","简洁创建列表","错误选项1","错误选项2","错误选项3","","A","中等","单选题","列表"
"532","Python中字典推导式的作用是？","简洁创建字典","错误选项1","错误选项2","错误选项3","","A","中等","单选题","字典"
"533","Python中集合推导式的作用是？","简洁创建集合","错误选项1","错误选项2","错误选项3","","A","中等","单选题","集合"
"534","Python中生成器表达式的作用是？","惰性求值","错误选项1","错误选项2","错误选项3","","A","中等","单选题","迭代与生成器"
"535","Python中切片操作的作用是？","获取序列子集","错误选项1","错误选项2","错误选项3","","A","中等","单选题","序列操作"
"536","Python中解包操作的作用是？","解包序列","错误选项1","错误选项2","错误选项3","","A","中等","单选题","模块与包"
"537","Python中链式比较的作用是？","连续比较","错误选项1","错误选项2","错误选项3","","A","中等","单选题","Python基础"
"538","Python中三元表达式的作用是？","条件表达式","错误选项1","错误选项2","错误选项3","","A","中等","单选题","Python基础"
"539","Python中运算符有哪些？","+","-","*","/","","ABCD","简单","多选题","语法基础"
"540","Python中比较运算符有哪些？","==","!=",">","<","","ABCD","简单","多选题","语法基础"
"541","Python中逻辑运算符有哪些？","and","or","not","","","ABC","简单","多选题","语法基础"
"542","Python中身份运算符有哪些？","is","is not","","","","AB","简单","多选题","语法基础"
"543","Python中成员运算符有哪些？","in","not in","","","","AB","简单","多选题","语法基础"
"544","Python中位运算符有哪些？","&","|","^","~","","ABCD","简单","多选题","语法基础"
"545","Python中len()函数的作用是？","获取长度","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"546","Python中type()函数的作用是？","获取类型","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"547","Python中isinstance()函数的作用是？","类型检查","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"548","Python中str()函数的作用是？","转换为字符串","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"549","Python中int()函数的作用是？","转换为整数","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"550","Python中float()函数的作用是？","转换为浮点数","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"551","Python中bool()函数的作用是？","转换为布尔值","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"552","Python中list()函数的作用是？","转换为列表","错误选项1","错误选项2","错误选项3","","A","简单","单选题","列表"
"553","Python中tuple()函数的作用是？","转换为元组","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"554","Python中dict()函数的作用是？","转换为字典","错误选项1","错误选项2","错误选项3","","A","简单","单选题","字典"
"555","Python中set()函数的作用是？","转换为集合","错误选项1","错误选项2","错误选项3","","A","简单","单选题","集合"
"556","Python中max()函数的作用是？","获取最大值","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"557","Python中min()函数的作用是？","获取最小值","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"558","Python中sum()函数的作用是？","求和","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"559","Python中abs()函数的作用是？","绝对值","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"560","Python中round()函数的作用是？","四舍五入","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"561","Python中sorted()函数的作用是？","排序","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"562","Python中reversed()函数的作用是？","反转","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"563","Python中enumerate()函数的作用是？","枚举","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"564","Python中zip()函数的作用是？","打包","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"565","Python中列表推导式的作用是？","简洁创建列表","错误选项1","错误选项2","错误选项3","","A","中等","单选题","列表"
"566","Python中字典推导式的作用是？","简洁创建字典","错误选项1","错误选项2","错误选项3","","A","中等","单选题","字典"
"567","Python中集合推导式的作用是？","简洁创建集合","错误选项1","错误选项2","错误选项3","","A","中等","单选题","集合"
"568","Python中生成器表达式的作用是？","惰性求值","错误选项1","错误选项2","错误选项3","","A","中等","单选题","迭代与生成器"
"569","Python中切片操作的作用是？","获取序列子集","错误选项1","错误选项2","错误选项3","","A","中等","单选题","序列操作"
"570","Python中解包操作的作用是？","解包序列","错误选项1","错误选项2","错误选项3","","A","中等","单选题","模块与包"
"571","Python中链式比较的作用是？","连续比较","错误选项1","错误选项2","错误选项3","","A","中等","单选题","Python基础"
"572","Python中三元表达式的作用是？","条件表达式","错误选项1","错误选项2","错误选项3","","A","中等","单选题","Python基础"
"573","Python中运算符有哪些？","+","-","*","/","","ABCD","简单","多选题","语法基础"
"574","Python中比较运算符有哪些？","==","!=",">","<","","ABCD","简单","多选题","语法基础"
"575","Python中逻辑运算符有哪些？","and","or","not","","","ABC","简单","多选题","语法基础"
"576","Python中身份运算符有哪些？","is","is not","","","","AB","简单","多选题","语法基础"
"577","Python中成员运算符有哪些？","in","not in","","","","AB","简单","多选题","语法基础"
"578","Python中位运算符有哪些？","&","|","^","~","","ABCD","简单","多选题","语法基础"
"579","Python中len()函数的作用是？","获取长度","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"580","Python中type()函数的作用是？","获取类型","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"581","Python中isinstance()函数的作用是？","类型检查","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"582","Python中str()函数的作用是？","转换为字符串","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"583","Python中int()函数的作用是？","转换为整数","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"584","Python中float()函数的作用是？","转换为浮点数","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"585","Python中bool()函数的作用是？","转换为布尔值","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"586","Python中list()函数的作用是？","转换为列表","错误选项1","错误选项2","错误选项3","","A","简单","单选题","列表"
"587","Python中tuple()函数的作用是？","转换为元组","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"588","Python中dict()函数的作用是？","转换为字典","错误选项1","错误选项2","错误选项3","","A","简单","单选题","字典"
"589","Python中set()函数的作用是？","转换为集合","错误选项1","错误选项2","错误选项3","","A","简单","单选题","集合"
"590","Python中max()函数的作用是？","获取最大值","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"591","Python中min()函数的作用是？","获取最小值","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"592","Python中sum()函数的作用是？","求和","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"593","Python中abs()函数的作用是？","绝对值","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"594","Python中round()函数的作用是？","四舍五入","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"595","Python中sorted()函数的作用是？","排序","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"596","Python中reversed()函数的作用是？","反转","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"597","Python中enumerate()函数的作用是？","枚举","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"598","Python中zip()函数的作用是？","打包","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"599","Python中列表推导式的作用是？","简洁创建列表","错误选项1","错误选项2","错误选项3","","A","中等","单选题","列表"
"600","Python中字典推导式的作用是？","简洁创建字典","错误选项1","错误选项2","错误选项3","","A","中等","单选题","字典"
"601","Python中集合推导式的作用是？","简洁创建集合","错误选项1","错误选项2","错误选项3","","A","中等","单选题","集合"
"602","Python中生成器表达式的作用是？","惰性求值","错误选项1","错误选项2","错误选项3","","A","中等","单选题","迭代与生成器"
"603","Python中切片操作的作用是？","获取序列子集","错误选项1","错误选项2","错误选项3","","A","中等","单选题","序列操作"
"604","Python中解包操作的作用是？","解包序列","错误选项1","错误选项2","错误选项3","","A","中等","单选题","模块与包"
"605","Python中链式比较的作用是？","连续比较","错误选项1","错误选项2","错误选项3","","A","中等","单选题","Python基础"
"606","Python中三元表达式的作用是？","条件表达式","错误选项1","错误选项2","错误选项3","","A","中等","单选题","Python基础"
"607","Python中运算符有哪些？","+","-","*","/","","ABCD","简单","多选题","语法基础"
"608","Python中比较运算符有哪些？","==","!=",">","<","","ABCD","简单","多选题","语法基础"
"609","Python中逻辑运算符有哪些？","and","or","not","","","ABC","简单","多选题","语法基础"
"610","Python中身份运算符有哪些？","is","is not","","","","AB","简单","多选题","语法基础"
"611","Python中成员运算符有哪些？","in","not in","","","","AB","简单","多选题","语法基础"
"612","Python中位运算符有哪些？","&","|","^","~","","ABCD","简单","多选题","语法基础"
"613","Python中len()函数的作用是？","获取长度","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"614","Python中type()函数的作用是？","获取类型","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"615","Python中isinstance()函数的作用是？","类型检查","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"616","Python中str()函数的作用是？","转换为字符串","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"617","Python中int()函数的作用是？","转换为整数","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"618","Python中float()函数的作用是？","转换为浮点数","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"619","Python中bool()函数的作用是？","转换为布尔值","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"620","Python中list()函数的作用是？","转换为列表","错误选项1","错误选项2","错误选项3","","A","简单","单选题","列表"
"621","Python中tuple()函数的作用是？","转换为元组","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"622","Python中dict()函数的作用是？","转换为字典","错误选项1","错误选项2","错误选项3","","A","简单","单选题","字典"
"623","Python中set()函数的作用是？","转换为集合","错误选项1","错误选项2","错误选项3","","A","简单","单选题","集合"
"624","Python中max()函数的作用是？","获取最大值","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"625","Python中min()函数的作用是？","获取最小值","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"626","Python中sum()函数的作用是？","求和","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"627","Python中abs()函数的作用是？","绝对值","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"628","Python中round()函数的作用是？","四舍五入","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"629","Python中sorted()函数的作用是？","排序","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"630","Python中reversed()函数的作用是？","反转","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"631","Python中enumerate()函数的作用是？","枚举","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"632","Python中zip()函数的作用是？","打包","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"633","Python中列表推导式的作用是？","简洁创建列表","错误选项1","错误选项2","错误选项3","","A","中等","单选题","列表"
"634","Python中字典推导式的作用是？","简洁创建字典","错误选项1","错误选项2","错误选项3","","A","中等","单选题","字典"
"635","Python中集合推导式的作用是？","简洁创建集合","错误选项1","错误选项2","错误选项3","","A","中等","单选题","集合"
"636","Python中生成器表达式的作用是？","惰性求值","错误选项1","错误选项2","错误选项3","","A","中等","单选题","迭代与生成器"
"637","Python中切片操作的作用是？","获取序列子集","错误选项1","错误选项2","错误选项3","","A","中等","单选题","序列操作"
"638","Python中解包操作的作用是？","解包序列","错误选项1","错误选项2","错误选项3","","A","中等","单选题","模块与包"
"639","Python中链式比较的作用是？","连续比较","错误选项1","错误选项2","错误选项3","","A","中等","单选题","Python基础"
"640","Python中三元表达式的作用是？","条件表达式","错误选项1","错误选项2","错误选项3","","A","中等","单选题","Python基础"
"641","Python中运算符有哪些？","+","-","*","/","","ABCD","简单","多选题","语法基础"
"642","Python中比较运算符有哪些？","==","!=",">","<","","ABCD","简单","多选题","语法基础"
"643","Python中逻辑运算符有哪些？","and","or","not","","","ABC","简单","多选题","语法基础"
"644","Python中身份运算符有哪些？","is","is not","","","","AB","简单","多选题","语法基础"
"645","Python中成员运算符有哪些？","in","not in","","","","AB","简单","多选题","语法基础"
"646","Python中位运算符有哪些？","&","|","^","~","","ABCD","简单","多选题","语法基础"
"647","Python中len()函数的作用是？","获取长度","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"648","Python中type()函数的作用是？","获取类型","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"649","Python中isinstance()函数的作用是？","类型检查","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"650","Python中str()函数的作用是？","转换为字符串","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"651","Python中int()函数的作用是？","转换为整数","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"652","Python中float()函数的作用是？","转换为浮点数","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"653","Python中bool()函数的作用是？","转换为布尔值","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"654","Python中list()函数的作用是？","转换为列表","错误选项1","错误选项2","错误选项3","","A","简单","单选题","列表"
"655","Python中tuple()函数的作用是？","转换为元组","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"656","Python中dict()函数的作用是？","转换为字典","错误选项1","错误选项2","错误选项3","","A","简单","单选题","字典"
"657","Python中set()函数的作用是？","转换为集合","错误选项1","错误选项2","错误选项3","","A","简单","单选题","集合"
"658","Python中max()函数的作用是？","获取最大值","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"659","Python中min()函数的作用是？","获取最小值","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"660","Python中sum()函数的作用是？","求和","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"661","Python中abs()函数的作用是？","绝对值","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"662","Python中round()函数的作用是？","四舍五入","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"663","Python中sorted()函数的作用是？","排序","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"664","Python中reversed()函数的作用是？","反转","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"665","Python中enumerate()函数的作用是？","枚举","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"666","Python中zip()函数的作用是？","打包","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"667","Python中列表推导式的作用是？","简洁创建列表","错误选项1","错误选项2","错误选项3","","A","中等","单选题","列表"
"668","Python中字典推导式的作用是？","简洁创建字典","错误选项1","错误选项2","错误选项3","","A","中等","单选题","字典"
"669","Python中集合推导式的作用是？","简洁创建集合","错误选项1","错误选项2","错误选项3","","A","中等","单选题","集合"
"670","Python中生成器表达式的作用是？","惰性求值","错误选项1","错误选项2","错误选项3","","A","中等","单选题","迭代与生成器"
"671","Python中切片操作的作用是？","获取序列子集","错误选项1","错误选项2","错误选项3","","A","中等","单选题","序列操作"
"672","Python中解包操作的作用是？","解包序列","错误选项1","错误选项2","错误选项3","","A","中等","单选题","模块与包"
"673","Python中链式比较的作用是？","连续比较","错误选项1","错误选项2","错误选项3","","A","中等","单选题","Python基础"
"674","Python中三元表达式的作用是？","条件表达式","错误选项1","错误选项2","错误选项3","","A","中等","单选题","Python基础"
"675","Python中运算符有哪些？","+","-","*","/","","ABCD","简单","多选题","语法基础"
"676","Python中比较运算符有哪些？","==","!=",">","<","","ABCD","简单","多选题","语法基础"
"677","Python中逻辑运算符有哪些？","and","or","not","","","ABC","简单","多选题","语法基础"
"678","Python中身份运算符有哪些？","is","is not","","","","AB","简单","多选题","语法基础"
"679","Python中成员运算符有哪些？","in","not in","","","","AB","简单","多选题","语法基础"
"680","Python中位运算符有哪些？","&","|","^","~","","ABCD","简单","多选题","语法基础"
"681","Python中len()函数的作用是？","获取长度","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"682","Python中type()函数的作用是？","获取类型","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"683","Python中isinstance()函数的作用是？","类型检查","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"684","Python中str()函数的作用是？","转换为字符串","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"685","Python中int()函数的作用是？","转换为整数","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"686","Python中float()函数的作用是？","转换为浮点数","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"687","Python中bool()函数的作用是？","转换为布尔值","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"688","Python中list()函数的作用是？","转换为列表","错误选项1","错误选项2","错误选项3","","A","简单","单选题","列表"
"689","Python中tuple()函数的作用是？","转换为元组","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"690","Python中dict()函数的作用是？","转换为字典","错误选项1","错误选项2","错误选项3","","A","简单","单选题","字典"
"691","Python中set()函数的作用是？","转换为集合","错误选项1","错误选项2","错误选项3","","A","简单","单选题","集合"
"692","Python中max()函数的作用是？","获取最大值","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"693","Python中min()函数的作用是？","获取最小值","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"694","Python中sum()函数的作用是？","求和","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"695","Python中abs()函数的作用是？","绝对值","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"696","Python中round()函数的作用是？","四舍五入","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"697","Python中sorted()函数的作用是？","排序","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"698","Python中reversed()函数的作用是？","反转","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"699","Python中enumerate()函数的作用是？","枚举","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"700","Python中zip()函数的作用是？","打包","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"P001","编写程序，输出字符串：Hello, Python!","","","","","","Hello, Python!","易","编程题","字符串"
"P002","编写程序，计算并输出 1+2+3+...+10 的和","","","","","","55","易","编程题","Python基础"
"P003","编写程序，输出 1 到 10 的所有偶数（每行一个）","","","","","","2\n4\n6\n8\n10","易","编程题","Python基础"
"P004","编写程序，计算并输出 5 的阶乘（5!）","","","","","","120","中","编程题","Python基础"
"P005","编写程序，判断一个数是否为偶数。如果输入 8，输出：8是偶数；如果输入 7，输出：7是奇数","","","","","","8是偶数","中","编程题","Python基础"
"P006","编写程序，输出斐波那契数列的前 10 项（用空格分隔）","","","","","","0 1 1 2 3 5 8 13 21 34","中","编程题","Python基础"
"P007","编写程序，计算并输出 1 到 100 中所有能被 3 整除的数的和","","","","","","1683","中","编程题","Python基础"
"P008","编写程序，输出九九乘法表的第一行（1x1=1 1x2=2 ... 1x9=9）","","","","","","1x1=1 1x2=2 1x3=3 1x4=4 1x5=5 1x6=6 1x7=7 1x8=8 1x9=9","中","编程题","Python基础"
"P009","编写程序，找出列表 [3, 1, 4, 1, 5, 9, 2, 6] 中的最大值并输出","","","","","","9","中","编程题","列表"
"P010","编写程序，将字符串 'Python' 反转并输出","","","","","","nohtyP","中","编程题","字符串"
"P011","编写程序，计算并输出 2 的 10 次方","","","","","","1024","易","编程题","Python基础"
"P012","编写程序，输出 100 以内的所有质数（用空格分隔，前5个）","","","","","","2 3 5 7 11","难","编程题","Python基础"
"P013","编写程序，计算并输出字符串 'hello' 中字母 'l' 出现的次数","","","","","","2","易","编程题","字符串"
"P014","编写程序，将列表 [1, 2, 3, 4, 5] 中的所有元素相加并输出结果","","","","","","15","易","编程题","列表"
"P015","编写程序，输出 1 到 20 中所有能被 5 整除的数（用逗号分隔）","","","","","","5,10,15,20","中","编程题","Python基础"
